yarn run v1.22.22
$ ts-node examples/generateJSONFont.ts
>>>> Roboto-Regular-5pt.bdf
1102 false -1
1103 false -1
1104 false -1
1105 false -1
1106 false -1
1107 false -1
1108 false -1
1109 false -1
1110 false -1
1111 false -1
1112 false -1
1113 false -1
1114 false -1
1115 false -1
1116 false -1
1117 false -1
1118 false -1
1119 false -1
1120 false -1
1121 false -1
1122 false -1
1123 false -1
1124 false -1
1125 false -1
1126 false -1
1127 false -1
1128 false -1
1129 false -1
1130 false -1
1131 false -1
1132 false -1
1133 false -1
1134 false -1
1135 false -1
1136 false -1
1137 false -1
1138 false -1
1139 false -1
1140 false -1
1141 false -1
1142 false -1
1143 false -1
1144 false -1
1145 false -1
1146 false -1
1147 false -1
1148 false -1
1149 false -1
1150 false -1
1151 false -1
1152 false -1
1153 false -1
1154 false -1
1155 false -1
1156 false -1
1157 false -1
1158 false -1
1160 false -1
1161 false -1
1162 false -1
1163 false -1
1164 false -1
1165 false -1
1166 false -1
1167 false -1
1168 false -1
1169 false -1
1170 false -1
1171 false -1
1172 false -1
1173 false -1
1174 false -1
1175 false -1
1176 false -1
1177 false -1
1178 false -1
1179 false -1
1180 false -1
1181 false -1
1182 false -1
1183 false -1
1184 false -1
1185 false -1
1186 false -1
1187 false -1
1188 false -1
1189 false -1
1190 false -1
1191 false -1
1192 false -1
1193 false -1
1194 false -1
1195 false -1
1196 false -1
1197 false -1
1198 false -1
1199 false -1
1200 false -1
1201 false -1
1202 false -1
1203 false -1
1204 false -1
1205 false -1
1206 false -1
1207 false -1
1208 false -1
1209 false -1
1210 false -1
1211 false -1
1212 false -1
1213 false -1
1214 false -1
1215 false -1
1216 false -1
1217 false -1
1218 false -1
1219 false -1
1220 false -1
1221 false -1
1222 false -1
1223 false -1
1224 false -1
1225 false -1
1226 false -1
1227 false -1
1228 false -1
1229 false -1
1230 false -1
1231 false -1
1232 false -1
1233 false -1
1234 false -1
1235 false -1
1236 false -1
1237 false -1
1238 false -1
1239 false -1
1240 false -1
1241 false -1
1242 false -1
1243 false -1
1244 false -1
1245 false -1
1246 false -1
1247 false -1
1248 false -1
1249 false -1
1250 false -1
1251 false -1
1252 false -1
1253 false -1
1254 false -1
1255 false -1
1256 false -1
1257 false -1
1258 false -1
1259 false -1
1260 false -1
1261 false -1
1262 false -1
1263 false -1
1264 false -1
1265 false -1
1266 false -1
1267 false -1
1268 false -1
1269 false -1
1270 false -1
1271 false -1
1272 false -1
1273 false -1
1274 false -1
1275 false -1
1276 false -1
1277 false -1
1278 false -1
1279 false -1
1280 false -1
1281 false -1
1282 false -1
1283 false -1
1284 false -1
1285 false -1
1286 false -1
1287 false -1
1288 false -1
1289 false -1
1290 false -1
1291 false -1
1292 false -1
1293 false -1
1294 false -1
1295 false -1
1296 false -1
1297 false -1
1298 false -1
1299 false -1
7680 false -1
7681 false -1
7742 false -1
7743 false -1
7808 false -1
7809 false -1
7810 false -1
7811 false -1
7812 false -1
7813 false -1
7840 false -1
7841 false -1
7842 false -1
7843 false -1
7844 false -1
7845 false -1
7846 false -1
7847 false -1
7848 false -1
7849 false -1
7850 false -1
7851 false -1
7852 false -1
7853 false -1
7854 false -1
7855 false -1
7856 false -1
7857 false -1
7858 false -1
7859 false -1
7860 false -1
7861 false -1
7862 false -1
7863 false -1
7864 false -1
7865 false -1
7866 false -1
7867 false -1
7868 false -1
7869 false -1
7870 false -1
7871 false -1
7872 false -1
7873 false -1
7874 false -1
7875 false -1
7876 false -1
7877 false -1
7878 false -1
7879 false -1
7880 false -1
7881 false -1
7882 false -1
7883 false -1
7884 false -1
7885 false -1
7886 false -1
7887 false -1
7888 false -1
7889 false -1
7890 false -1
7891 false -1
7892 false -1
7893 false -1
7894 false -1
7895 false -1
7896 false -1
7897 false -1
7898 false -1
7899 false -1
7900 false -1
7901 false -1
7902 false -1
7903 false -1
7904 false -1
7905 false -1
7906 false -1
7907 false -1
7908 false -1
7909 false -1
7910 false -1
7911 false -1
7912 false -1
7913 false -1
7914 false -1
7915 false -1
7916 false -1
7917 false -1
7918 false -1
7919 false -1
7920 false -1
7921 false -1
7922 false -1
7923 false -1
7924 false -1
7925 false -1
7926 false -1
7927 false -1
7928 false -1
7929 false -1
8013 false -1
8192 false -1
8193 false -1
8194 false -1
8195 false -1
8196 false -1
8197 false -1
8198 false -1
8199 false -1
8200 false -1
8201 false -1
8202 false -1
8203 false -1
8208 false -1
8209 false -1
8211 false -1
8212 false -1
8213 false -1
8215 false -1
8216 false -1
8217 false -1
8218 false -1
8219 false -1
8220 false -1
8221 false -1
8222 false -1
8224 false -1
8225 false -1
8226 false -1
8229 false -1
8230 false -1
8231 false -1
8240 false -1
8242 false -1
8243 false -1
8249 false -1
8250 false -1
8252 false -1
8260 false -1
8308 false -1
8319 false -1
8355 false -1
8356 false -1
8358 false -1
8359 false -1
8360 false -1
8361 false -1
8362 false -1
8363 false -1
8364 false -1
8369 false -1
8377 false -1
8378 false -1
8380 false -1
8381 false -1
8453 false -1
8467 false -1
8470 false -1
8482 false -1
8486 false -1
8494 false -1
8539 false -1
8540 false -1
8541 false -1
8542 false -1
8706 false -1
8710 false -1
8719 false -1
8721 false -1
8722 false -1
8730 false -1
8734 false -1
8747 false -1
8776 false -1
8800 false -1
8804 false -1
8805 false -1
9674 false -1
60929 false -1
60930 false -1
63171 false -1
64257 false -1
64258 false -1
64259 false -1
64260 false -1
65279 false -1
65532 false -1
65533 false -1
subset 93 atlas 93
Done in 1.38s.
